#;image;link;fecha
1;article_2;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8853323;2019
2;article_3;https://www.sciencedirect.com/science/article/pii/S2211912419300070?via%3Dihub;2019
3;article_4;https://www.nature.com/articles/d41586-018-02566-1;2018
4;article_5;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0150015;2016
5;article_6;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161620;2016
6;article_7;https://www.sciencedirect.com/science/article/abs/pii/S0308521X10001411?via%3Dihub;2011
7;article_8;https://www.sciencedirect.com/science/article/abs/pii/S0168169909001744?via%3Dihub;2009
